panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel,2026-03-11T14:58:29.1513390+09:00,1773208709.151000,2026-03-11T14:58:30.8502530+09:00,1773208710.850000,1.699000,3.749348,1.474777,6.385621,0.000000,0.000729,0.000000,-1.000000,-0.466275,1.852680,2.232516,-0.329619,-0.099200,0.043759,0.937868
AdPanel,2026-03-11T14:58:31.4631640+09:00,1773208711.463000,2026-03-11T14:58:34.6932860+09:00,1773208714.693000,3.230000,3.749348,1.474777,6.385621,0.000000,0.000729,0.000000,-1.000000,0.130019,0.259998,2.909078,-0.047105,-0.017831,0.008570,0.998694
AdPanel,2026-03-11T14:58:39.5213230+09:00,1773208719.521000,2026-03-11T14:58:42.3628610+09:00,1773208722.362000,2.841000,3.749348,1.474777,6.385621,0.000000,0.000729,0.000000,-1.000000,0.449612,0.215856,3.245043,-0.035740,0.112872,0.011007,0.992906
AdPanel,2026-03-11T14:58:42.7938870+09:00,1773208722.793000,2026-03-11T14:58:43.2539240+09:00,1773208723.253000,0.460000,3.749348,1.474777,6.385621,0.000000,0.000729,0.000000,-1.000000,-0.905571,1.213077,2.891776,-0.194984,-0.088013,0.020898,0.976626
AdPanel,2026-03-11T14:58:44.9930240+09:00,1773208724.993000,2026-03-11T14:58:45.8837380+09:00,1773208725.883000,0.890000,3.749348,1.474777,6.385621,0.000000,0.000729,0.000000,-1.000000,-0.509417,0.506113,3.187345,-0.077586,-0.040425,-0.016278,0.996033
AdPanel (1),2026-03-11T14:58:55.4882340+09:00,1773208735.488000,2026-03-11T14:58:56.9240690+09:00,1773208736.924000,1.436000,8.142124,1.520810,2.508009,0.000000,0.634828,0.000000,0.772654,-1.063188,1.045066,2.841676,0.162700,0.186137,-0.022838,-0.968690
AdPanel (1),2026-03-11T14:58:58.4959140+09:00,1773208738.495000,2026-03-11T14:58:59.5259770+09:00,1773208739.525000,1.030000,8.142124,1.520810,2.508009,0.000000,0.634828,0.000000,0.772654,-1.014654,0.605939,2.984756,0.094312,0.175292,-0.026983,-0.979617
AdPanel (1),2026-03-11T14:59:05.6643450+09:00,1773208745.664000,2026-03-11T14:59:06.0549930+09:00,1773208746.054000,0.390000,8.142124,1.520810,2.508009,0.000000,0.634828,0.000000,0.772654,0.098389,0.448632,3.071923,0.070227,0.034614,0.052716,-0.995536
AdPanel (1),2026-03-11T14:59:06.6536310+09:00,1773208746.653000,2026-03-11T14:59:07.3634030+09:00,1773208747.363000,0.710000,8.142124,1.520810,2.508009,0.000000,0.634828,0.000000,0.772654,-0.307335,0.916344,3.014815,0.140005,0.069988,-0.013916,-0.987576
AdPanel (1),2026-03-11T14:59:08.1569480+09:00,1773208748.156000,2026-03-11T14:59:08.7556120+09:00,1773208748.755000,0.599000,8.142124,1.520810,2.508009,0.000000,0.634828,0.000000,0.772654,-0.200666,2.055019,2.335017,0.338586,0.044294,-0.032242,-0.939339
AdPanel (1),2026-03-11T14:59:14.8523710+09:00,1773208754.852000,2026-03-11T14:59:15.0053470+09:00,1773208755.005000,0.153000,8.142124,1.520810,2.508009,0.000000,0.634828,0.000000,0.772654,-2.203291,0.785958,3.101167,0.112763,0.253975,-0.030013,-0.960146
AdPanel (2),2026-03-11T14:59:59.0627300+09:00,1773208799.062000,2026-03-11T14:59:59.6615910+09:00,1773208799.661000,0.599000,3.161760,1.484529,-2.187913,0.000000,0.998798,0.000000,0.049023,0.105669,0.250637,3.988834,0.032707,-0.046231,-0.002974,-0.998391
